pair,strategy,accuracy,transactions,totol,annual,sharp
300059&600446,garch+,0.5113122171945701,"[(0.081117622421365637, '2016-01-25', '2016-01-27', 'l'), (0.052430632606286991, '2016-02-26', '2016-03-22', 'l'), (0.0084024203741657998, '2016-04-01', '2016-06-02', 'l'), (0.0065399364562056033, '2016-06-15', '2016-06-21', 'l'), (0.024452675865232514, '2016-06-22', '2016-07-28', 'l'), (0.024763553231728273, '2016-08-01', '2016-09-29', 'l'), (0.0053402776252244625, '2016-10-10', '2016-11-10', 'l'), (-0.00089907997767758245, '2016-11-14', '2016-12-30', 'l')]",0.21778138352632426,0.2977161235472223,0.21632313780136053
300059&600446,history+model,0.5113122171945701,"[(0.10963744712397357, '2016-01-25', '2016-01-28', 'l'), (0.073533963451109213, '2016-03-01', '2016-03-22', 'l')]",0.19123348660477002,2.9083426087808775,0.698732488045489
300059&600446,garch+model,0.5113122171945701,"[(0.081117622421365637, '2016-01-25', '2016-01-27', 'l'), (0.052430632606286991, '2016-02-26', '2016-03-22', 'l'), (0.0084024203741657998, '2016-04-01', '2016-06-02', 'l'), (0.0065399364562056033, '2016-06-15', '2016-06-21', 'l'), (0.024452675865232514, '2016-06-22', '2016-07-28', 'l'), (0.024763553231728273, '2016-08-01', '2016-09-29', 'l'), (0.0053402776252244625, '2016-10-10', '2016-11-10', 'l'), (-0.00089907997767758245, '2016-11-14', '2016-12-30', 'l')]",0.21778138352632426,0.2977161235472223,0.21632313780136053
600999&601688,history+,0.5,"[(0.045622067277056394, '2016-02-15', '2016-03-08', 'l'), (-0.044233731108092776, '2016-04-15', '2016-12-30', 'l')]",-0.0006296980875650782,-0.0008179352382962759,-0.0034407605885123428
600999&601688,garch+,0.5,"[(0.032222472825996426, '2016-01-29', '2016-03-08', 'l'), (-0.097483236730406944, '2016-03-14', '2016-12-30', 'l')]",-0.06840191485094627,-0.0756566633957436,-0.5510792510770902
600999&601688,history+model,0.5,"[(0.045622067277056394, '2016-02-15', '2016-03-08', 'l'), (-0.044233731108092776, '2016-04-15', '2016-12-30', 'l')]",-0.0006296980875650782,-0.0008179352382962759,-0.0034407605885123428
600999&601688,garch+model,0.5,"[(0.032222472825996426, '2016-01-29', '2016-03-08', 'l'), (-0.097483236730406944, '2016-03-14', '2016-12-30', 'l')]",-0.06840191485094627,-0.0756566633957436,-0.5510792510770902
002178&300085,history+,0.5584415584415584,"[(0.062444536525873374, '2016-01-13', '2016-03-02', 'l'), (0.059465105514379085, '2016-03-23', '2016-05-06', 'l'), (0.060086031082755502, '2016-05-31', '2016-06-20', 'l'), (0.054834014101161753, '2016-06-23', '2016-07-25', 'l'), (0.0022309964455480831, '2016-12-12', '2016-12-30', 'l')]",0.26149633333282774,0.5855592740274977,2.0221538764328226
002178&300085,garch+,0.5584415584415584,"[(0.11273647927192917, '2016-01-15', '2016-03-02', 'l'), (0.040143301343418515, '2016-03-11', '2016-03-16', 'l'), (0.011994294290700274, '2016-03-17', '2016-05-06', 'l'), (0.05618833528646746, '2016-05-09', '2016-06-22', 'l'), (0.054834014101161753, '2016-06-23', '2016-07-25', 'l'), (0.023299725068172902, '2016-07-26', '2016-07-27', 'l'), (0.013044115272270975, '2016-09-06', '2016-09-07', 'l'), (0.013656349535050974, '2016-09-13', '2016-10-13', 'l'), (-0.071028416978869163, '2016-10-20', '2016-12-30', 'l')]",0.2738357954474131,0.3556941826985971,0.40103693039129057
002178&300085,history+model,0.5584415584415584,"[(0.062444536525873374, '2016-01-13', '2016-03-02', 'l'), (0.059465105514379085, '2016-03-23', '2016-05-06', 'l'), (0.060086031082755502, '2016-05-31', '2016-06-20', 'l'), (0.054834014101161753, '2016-06-23', '2016-07-25', 'l'), (0.0022309964455480831, '2016-12-12', '2016-12-30', 'l')]",0.26149633333282774,0.5855592740274977,2.0221538764328226
002178&300085,garch+model,0.5584415584415584,"[(0.11273647927192917, '2016-01-15', '2016-03-02', 'l'), (0.040143301343418515, '2016-03-11', '2016-03-16', 'l'), (0.011994294290700274, '2016-03-17', '2016-05-06', 'l'), (0.05618833528646746, '2016-05-09', '2016-06-22', 'l'), (0.054834014101161753, '2016-06-23', '2016-07-25', 'l'), (0.023299725068172902, '2016-07-26', '2016-07-27', 'l'), (0.013044115272270975, '2016-09-06', '2016-09-07', 'l'), (0.013656349535050974, '2016-09-13', '2016-10-13', 'l'), (-0.071028416978869163, '2016-10-20', '2016-12-30', 'l')]",0.2738357954474131,0.3556941826985971,0.40103693039129057
